SAINT-MARTIN-D'HERES,-0.72,2599.26
TOULOUSE,-0.74,3366.49
L'HAY-LES-ROSES,-0.81,3785.29
EVREUX,-0.82,2025.56
BOURG-EN-BRESSE,-0.82,2063.51
EVRY,-0.85,2337.54
ANNECY,-0.90,3620.54
NOISY-LE-GRAND,-0.90,3306.92
MARIGNANE,-0.95,2585.42
ROUEN,-1.00,2706.06
RENNES,-1.05,2682.08
NOISY-LE-SEC,-1.14,3274.88
SARTROUVILLE,-1.15,3112.50
BAGNEUX,-1.17,3875.00
SAVIGNY-SUR-ORGE,-1.20,3112.65
GRENOBLE,-1.30,3010.87
VINCENNES,-1.43,5856.93
TARBES,-1.48,1524.21
VALENCE,-1.52,1844.64
JOUE-LES-TOURS,-1.53,1900.15
SEVRAN,-1.55,2363.12
CHAMBERY,-1.60,2567.17
LACOURNEUVE,-1.71,2824.31
REIMS,-1.75,2540.59
STRASBOURG,-1.76,3030.33
AURILLAC,-1.81,1499.35
CHAMPIGNY-SUR-MARNE,-1.82,3332.98
FREJUS,-1.92,4259.13
CARCASSONNE,-2.05,1702.47
ALFORTVILLE,-2.09,4010.76
SAINT-PRIEST,-2.11,2243.93
VANNES,-2.15,2800.42
VITROLLES,-2.20,2663.29
SAINT-GERMAIN-EN-LAYE,-2.22,4766.77
LIMOGES,-2.34,1611.71
LEMANS,-2.38,1951.48
SAINT-NAZAIRE,-2.47,2382.32
VIENNE,-2.62,2175.94
DIJON,-2.77,2402.83
ALES,-2.88,1712.61
ANGERS,-3.00,2177.51
AVIGNON,-3.05,2473.73
MULHOUSE,-3.31,1677.95
CLERMONT-FERRAND,-3.32,1915.65
LESMUREAUX,-3.87,2365.32
VIRY-CHATILLON,-3.93,3016.52
CHALONS-EN-CHAMPAGNE,-3.99,2016.32
AUBAGNE,-4.55,2983.46
SAINT-CHAMOND,-4.77,1700.00
LEBLANC-MESNIL,-4.99,3231.48
AULNAY-SOUS-BOIS,-5.29,2570.00
AUXERRE,-5.64,1887.74
LAROCHE-SUR-YON,-5.69,2114.93
BEAUVAIS,-6.19,1924.87
SAINT-QUENTIN,-6.43,1417.59
PERIGUEUX,-6.43,1670.34
FONTENAY-SOUS-BOIS,-8.49,4065.63
