CHALONS-EN-CHAMPAGNE,+19.40,10.34
TROYES,+14.58,9.51
CASTRES,+12.48,8.04
POISSY,+12.39,16.53
GRENOBLE,+10.10,14.30
ISSY-LES-MOULINEAUX,+8.38,21.94
VILLEFRANCHE-SUR-SAONE,+8.25,9.21
ANTIBES,+8.04,18.13
LEMANS,+7.60,10.01
DOUAI,+7.45,9.88
CHALON-SUR-SAONE,+7.20,8.34
BOURGES,+7.02,9.81
ASNIERES-SUR-SEINE,+7.00,18.93
METZ,+6.13,9.32
AUXERRE,+6.06,10.31
CALUIRE-ET-CUIRE,+5.39,10.54
LECANNET,+5.32,16.06
LAVAL,+5.20,8.77
MARSEILLE,+4.91,12.72
SAINT-ETIENNE,+4.00,6.60
LEVALLOIS-PERRET,+3.97,23.71
DIJON,+3.93,11.04
NANTES,+3.89,13.29
RENNES,+3.62,12.83
POITIERS,+3.47,9.62
BLOIS,+3.14,9.90
VIENNE,+2.81,8.31
STRASBOURG,+2.64,11.46
LYON,+2.55,11.22
CHARTRES,+2.43,11.45
REIMS,+2.06,10.75
VALENCE,+1.97,9.74
BORDEAUX,+1.94,11.95
PARIS,+1.83,26.62
SAINT-MAUR-DES-FOSSES,+1.58,17.71
MAISONS-ALFORT,+1.55,17.68
NANCY,+1.50,9.86
MONTAUBAN,+1.30,8.44
TOULON,+1.29,11.50
SURESNES,+1.27,20.25
CARCASSONNE,+1.17,8.04
ANGOULEME,+1.16,8.40
ROUEN,+1.15,12.71
NICE,+0.98,14.80
CLERMONT-FERRAND,+0.77,11.96
MEAUX,+0.51,13.85
ALBI,+0.34,8.67
VILLEURBANNE,+0.31,10.44
ANGERS,+0.27,10.81
COURBEVOIE,+0.15,20.16
ANNECY,-0.12,13.00
MELUN,-0.24,13.66
LAROCHELLE,-0.31,12.41
CANNES,-0.88,16.91
AIX-EN-PROVENCE,-0.94,17.26
SALON-DE-PROVENCE,-0.95,12.89
BREST,-0.95,8.89
PUTEAUX,-1.11,20.01
HYERES,-1.16,12.91
VINCENNES,-1.25,20.58
NEUILLY-SUR-SEINE,-1.33,26.25
LILLE,-1.38,12.95
VERSAILLES,-1.40,18.04
PERPIGNAN,-1.40,9.48
AGEN,-1.65,8.80
TOURS,-2.71,10.36
MONTPELLIER,-2.74,13.69
LIMOGES,-2.96,9.30
TOULOUSE,-3.11,12.98
BOULOGNE-BILLANCOURT,-3.16,22.42
NIMES,-3.35,9.72
RUEIL-MALMAISON,-3.43,18.14
SAINT-GERMAIN-EN-LAYE,-3.57,19.45
AVIGNON,-3.69,10.99
ORLEANS,-3.88,10.60
ARRAS,-4.57,10.05
MULHOUSE,-4.76,8.46
BESANCON,-6.59,9.71
MONTROUGE,-9.10,18.10
